company,URL,active,public SaaS,HQ,Python SDK,feature,training,inference,ops,command line interface,feature,training,inference,ops,model context protocol server,feature,training,inference,ops,model context protocol server hosting,agentic AI,feature,training,inference,ops,PySpark code,file system,dashboards,own-agent infrastructure,meta harness,skills,other agent
Databricks,https://www.databricks.com/,yes,yes,US,"https://github.com/databricks/databricks-sdk-py

https://pypi.org/project/databricks-feature-engineering/",yes,yes,yes,yes,https://github.com/databricks/cli,yes,yes,yes,yes,https://github.com/databricks-solutions/ai-dev-kit,partial,partial,yes,yes,https://docs.databricks.com/aws/en/generative-ai/mcp/custom-mcp,https://www.databricks.com/blog/introducing-genie-code,yes,yes,yes,yes,yes,partial,yes,https://docs.databricks.com/aws/en/generative-ai/agent-framework/build-agents,https://www.databricks.com/blog/introducing-omnigent-meta-harness-combine-control-and-share-your-agents,https://github.com/databricks/databricks-agent-skills,-
Hopsworks,https://www.hopsworks.ai/,yes,yes,SE,https://github.com/logicalclocks/hopsworks-api,yes,yes,yes,yes,https://github.com/logicalclocks/hopsworks-api/tree/main/python/hopsworks/cli,yes,yes,yes,yes,https://github.com/logicalclocks/hopsworks-api/tree/main/python/hopsworks/mcp,-,-,-,-,-,-,-,-,-,-,-,-,-,https://docs.hopsworks.ai/latest/user_guides/agents/deployments/,https://www.youtube.com/watch?v=3zYXVTXqnQc,https://github.com/logicalclocks/hopsworks-api/tree/main/skills,-
Amazon SageMaker,https://aws.amazon.com/de/sagemaker/,yes,yes,US,https://github.com/aws/sagemaker-python-sdk,yes,yes,yes,yes,https://aws.amazon.com/cli/,yes,yes,yes,yes,https://github.com/awslabs/mcp,partial,partial,partial,yes,https://aws.amazon.com/blogs/containers/deploying-model-context-protocol-mcp-servers-on-amazon-ecs/,https://docs.aws.amazon.com/sagemaker-unified-studio/latest/userguide/sagemaker-data-agent.html,partial,partial,partial,yes,yes,partial,-,https://docs.aws.amazon.com/bedrock/latest/userguide/agents.html,-,https://github.com/awslabs/agent-plugins/tree/main/plugins/sagemaker-ai,-
Microsoft Azure Machine Learning,https://azure.microsoft.com/en-us/products/machine-learning,yes,yes,US,https://github.com/Azure/azure-sdk-for-python,yes,yes,partial,yes,https://github.com/Azure/azure-cli,yes,yes,partial,yes,https://github.com/microsoft/mcp,-,-,partial,partial,-,-,-,-,-,-,-,-,-,https://learn.microsoft.com/en-us/azure/foundry/,-,https://github.com/MicrosoftDocs/Agent-Skills/blob/main/docs/BUNDLES.md#-aiml-developer-bundle,https://www.microsoft.com/en-us/microsoft-365-copilot
Google Gemini Enterprise Agent Platform (formerly Vertex AI),https://cloud.google.com/products/gemini-enterprise-agent-platform,yes,yes,US,https://github.com/googleapis/python-aiplatform,yes,yes,partial,yes,https://docs.cloud.google.com/sdk/gcloud,yes,yes,partial,yes,https://aiplatform.googleapis.com/mcp/generate,-,partial,partial,partial,https://cloud.google.com/blog/topics/developers-practitioners/build-and-deploy-a-remote-mcp-server-to-google-cloud-run-in-under-10-minutes?hl=en,-,-,-,-,-,-,-,-,https://cloud.google.com/products/gemini-enterprise-agent-platform,-,https://github.com/google/skills,https://docs.cloud.google.com/bigquery/docs/conversational-analytics
Snowflake,https://www.snowflake.com/en/,yes,yes,US,https://github.com/snowflakedb/snowflake-connector-python,partial,yes,partial,partial,https://docs.snowflake.com/en/developer-guide/snowflake-cli/index,partial,partial,partial,partial,https://github.com/Snowflake-Labs/mcp,-,-,partial,-,-,-,-,-,-,-,-,-,-,https://www.snowflake.com/en/developers/guides/best-practices-to-building-cortex-agents/,https://www.snowflake.com/en/blog/snowflake-coco-ai-coding-agent-modern-data-stack/,-,https://www.snowflake.com/en/blog/snowflake-cowork-personal-work-agent/
Teradata,https://www.teradata.com/,yes,-,US,https://pypi.org/project/teradataml/,partial,yes,partial,partial,https://docs.teradata.com/r/Enterprise_IntelliFlex_Lake_VMware/Teradata-Call-Level-Interface-Version-2-Reference-for-Workstation-Attached-Systems-20.00/Introduction-to-CLI/What-is-CLIv2,-,-,-,-,https://github.com/Teradata/teradata-mcp-server,yes,partial,yes,yes,-,https://www.teradata.com/insights/ai-and-machine-learning/teradata-ai-agent-for-data-analysis,yes,-,-,yes,-,-,-,https://www.teradata.com/platform/agent-stack,-,-,-
FeatureByte,https://featurebyte.ai/,yes,yes,US,https://github.com/featurebyte/featurebyte,yes,yes,yes,-,-,-,-,-,-,-,-,-,-,-,-,https://featurebyte.ai/,yes,yes,yes,yes,-,-,-,-,-,-,-
Iguazio,https://www.iguazio.com/,acquired,-,US,https://www.iguazio.com/docs/latest-release/cluster-mgmt/mgmt-sdk/,yes,yes,yes,yes,https://www.iguazio.com/docs/v3.6/services/data-layer/tsdb/tsdb-cli/,-,partial,partial,partial,https://github.com/iguazio/mcp-server,partial,partial,partial,partial,-,-,-,-,-,-,-,-,-,-,-,-,-
IBM Watson Studio,https://www.ibm.com/products/watson-studio,yes,yes,US,https://www.ibm.com/docs/en/watsonx/saas?topic=lib-watson-studio-python,partial,yes,yes,yes,https://cloud.ibm.com/docs/cli?topic=cli-ibmcloud_cli,-,partial,partial,-,https://github.com/IBM/mcp,yes,-,-,yes,-,-,-,-,-,-,-,-,-,https://www.ibm.com/solutions/ai-agents,-,-,-
SAS Machine Learning,https://support.sas.com/en/software/machine-learning.html,yes,yes,US,https://github.com/sassoftware/python-dlpy,-,yes,yes,partial,https://documentation.sas.com/doc/en/dataagentcdc/2.3/dataagentag/p1bhvtbh9yip6zn1mf9ccgsaxy0d.htm,partial,-,-,-,https://github.com/sassoftware/sas-mcp-server,yes,yes,partial,partial,-,-,-,-,-,-,-,-,-,https://www.sas.com/en_us/solutions/ai/agentic-ai.html,-,-,https://www.sas.com/en_us/software/viya/copilot.html
Bauplan,https://www.bauplanlabs.com/,yes,yes,US,https://github.com/BauplanLabs/bauplan,partial,-,-,partial,https://docs.bauplanlabs.com/reference/cli,partial,-,-,partial,https://github.com/BauplanLabs/bauplan-mcp-server,yes,-,partial,partial,-,-,-,-,-,-,-,-,-,-,-,-,https://www.bauplanlabs.com/agentic-resources/how-do-ai-agents-use-bauplan
Dremio,https://www.dremio.com/,yes,yes,DE,https://github.com/dremio-hub/arrow-flight-client-examples/releases/tag/dremio-flight-python-v1.1.0,-,-,-,partial,https://pypi.org/project/dremio-cli/,-,-,-,partial,https://github.com/dremio/dremio-mcp,partial,no,partial,yes,-,-,-,-,-,-,-,-,-,-,-,https://github.com/developer-advocacy-dremio/dremio-agent-skill,https://www.dremio.com/ai-agent/
Astronomer,https://www.astronomer.io/,yes,yes,US,https://github.com/astronomer/airflow-ai-sdk,-,partial,-,partial,https://www.astronomer.io/docs/astro/cli/v-1-42/overview,-,-,-,partial,https://github.com/astronomer/agents/tree/main/astro-airflow-mcp,partial,partial,partial,yes,-,-,-,-,-,-,-,-,-,-,-,-,https://www.astronomer.io/docs/astro/otto-overview
Abacus,http://abacus.ai/,yes,yes,US,https://github.com/abacusai/api-python,yes,yes,yes,yes,-,-,-,-,-,-,-,-,-,-,https://abacus.ai/help/chatllm-ai-super-assistant/mcp-servers,-,-,-,-,-,-,-,-,-,-,-,https://abacus.ai/help/chatllm-ai-super-assistant/introduction
H2O.ai,https://h2o.ai/,yes,-,US,https://docs.h2o.ai/h2o/latest-stable/h2o-py/docs/intro.html,seperate product,yes,yes,partial,Using the H2O command line interface,-,partial,partial,-,https://github.com/h2oai/h2ogpte-mcp-server,partial,no,yes,partial,-,-,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=h9lI8WLFq14&list=PLNtMya54qvOHaSCFStUxmk-6VxCAuPfjj,-,-,-
Domino Data Lab,https://domino.ai/,yes,-,US,https://github.com/dominodatalab/python-domino,ingestion,yes,yes,yes,https://docs.dominodatalab.com/en/latest/user_guide/9355a5/domino-cli-reference/,partial,partial,partial,partial,https://github.com/dominodatalab/domino_mcp_server,-,partial,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/dominodatalab/domino-claude-plugin,-
Dataiku,https://www.dataiku.com/,yes,yes,US,https://github.com/dataiku/dataiku-api-client-python,offline,yes,yes,yes,https://doc.dataiku.com/dss/latest/operations/dsscli.html,partial,yes,-,-,-,-,-,-,-,https://developer.dataiku.com/latest/tutorials/genai/agents-and-tools/mcp/my-mcp/index.html#gsc.tab=0,-,-,-,-,-,-,-,-,-,-,-,-
DataRobot,https://www.datarobot.com/,yes,yes,US,https://pypi.org/project/datarobot/,discovery,yes,yes,yes,https://docs.datarobot.com/en/docs/agentic-ai/cli/index.html,-,partial,partial,-,-,-,-,-,-,https://github.com/datarobot-community/datarobot-mcp-template,-,-,-,-,-,-,-,-,https://www.datarobot.com/product/agentic-ai/,-,https://github.com/datarobot-oss/datarobot-agent-skills,-
Cloudera,https://www.cloudera.com/,yes,-,US,https://github.com/cloudera/director-sdk,-,-,-,-,https://cloudera.github.io/cdp-dev-docs/cli-docs/,-,partial,partial,partial,https://github.com/cloudera/CAI_Workbench_MCP_Server,partial,yes,partial,yes,-,-,-,-,-,-,-,-,-,https://docs.cloudera.com/machine-learning/cloud/use-ai-studios/topics/ml-agent-studio-overview.html,-,-,https://docs.cloudera.com/machine-learning/cloud/cloudera-copilot/topics/ml-use-cloudera-copilot.html
Modal,https://modal.com/,yes,yes,US,https://github.com/modal-labs/modal-client,-,partial,partial,partial,https://modal.com/docs/sdk/py/latest,-,partial,partial,partial,-,-,-,-,-,https://modal.com/docs/examples/mcp_server_stateless,-,-,-,-,-,-,-,-,https://modal.com/docs/examples/agent,-,-,-
Alteryx,https://www.alteryx.com/,yes,yes,US,https://help.alteryx.com/developer/2018.4/Python/Overview.htm,-,partial,partial,partial,https://help.alteryx.com/current/en/designer/workflows/run-workflows-via-command-line.html#run-workflows-via-command-line,partial,partial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alibaba Cloud Platform for AI,https://www.alibabacloud.com/en/product/machine-learning?_p_lc=1,yes,yes,CN,https://www.alibabacloud.com/help/en/pai/use-cases/best-practice-for-featurestore,-,-,-,-,https://github.com/aliyun/aliyun-cli,-,partial,partial,partial,https://github.com/aliyun/alibaba-cloud-ops-mcp-server,-,-,-,-,-,-,-,-,-,-,-,-,-,https://www.alibabagroup.com/en-US/document-1971078136456019968,-,-,-
MathWorks,https://www.mathworks.com/,yes,-,US,-,-,-,-,-,https://se.mathworks.com/help/bugfinder/command-line-only-options.html,-,-,-,-,https://github.com/matlab/matlab-mcp-server,partial,partial,partial,partial,-,-,-,-,-,-,-,-,-,-,-,-,https://se.mathworks.com/campaigns/offers/next/agentic-ai-with-matlab.html
Chronon,https://chronon.ai/,yes,-,US,https://pypi.org/project/chronon-ai/,yes,partial,partial,partial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OpenMLDB,https://github.com/4paradigm/openmldb,yes,-,-,https://openmldb.ai/docs/en/main/developer/python_dev.html#sdk,yes,-,-,-,https://openmldb.ai/docs/en/main/quickstart/cli.html?highlight=cli,yes,-,partial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Featureform,https://www.featureform.com/,yes,-,US,-,-,-,-,-,https://docs.featureform.com/getting-started/architecture-and-components#dashboard-/-cli,partial,-,partial,partial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chalk,https://chalk.ai/,yes,-,US,https://docs.chalk.ai/api-docs,yes,-,partial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mloda.ai,http://mloda.ai/,yes,-,DE,https://pypi.org/project/mloda/,partial,partial,partial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JFrog,https://jfrog.com/,yes,yes,US,https://docs.jfrog.com/ai-ml/docs/jfrog-ml-introduction,yes,yes,yes,partial,https://docs.jfrog.com/ai-ml/docs/training-models,partial,yes,yes,partial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://jfrog.com/learn/devops/agentic-repository/,-,-,-
KNIME,https://www.knime.com/,yes,yes,CH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://www.knime.com/blog/put-scalable-AI-Agents-into-production-with-the-MCP-standard-and-KNIME,-,-,-,-,-,-,-,-,https://www.knime.com/key-capabilities/ai-agents,-,-,-
Altair,https://altair.com/,acquired,-,DE,-,-,-,-,-,https://help.altair.com/accelerator/html/bookshelf/topics/ft/tut_cli.html,-,-,-,partial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TIBCO Software,https://www.tibco.com/,yes,-,US,-,-,-,-,-,https://docs.tibco.com/pub/emsa/3.0.1/doc/html/GUID-B3DE6616-2A96-4242-846B-2B22FF8502D5.html,-,-,-,-,-,-,-,-,-,https://www.tibco.com/ai-legal-disclaimer,-,-,-,-,-,-,-,-,-,-,-,https://www.tibco.com/ai-legal-disclaimer
Aible,https://www.aible.com/,yes,-,US,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://enaible.aible.com/hubfs/Aible%20Overview_Nov_2025.pdf,-,-,https://enaible.aible.com/hubfs/Aible%20Overview_Nov_2025.pdf
Feathr,https://github.com/feathr-ai/feathr,-,-,US,https://pypi.org/project/feathr/,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Apple Overton,https://machinelearning.apple.com/research/overton,proprietary,-,US,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Facebook FBLearner,https://engineering.fb.com/2016/05/09/core-infra/introducing-fblearner-flow-facebook-s-ai-backbone/,proprietary,-,US,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Spotify Ray,https://engineering.atspotify.com/2023/02/unleashing-ml-innovation-at-spotify-with-ray,proprietary,-,SE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
